academic_year,program_year,agency_name,prepared_for_practice,learning_goals_met,most_helpful,least_helpful,recommend,recommend_reason,comp_1_ethical_professional,comp_2_human_rights_justice,comp_3_adei,comp_4_research_informed,comp_5_policy_practice,comp_6_engage,comp_7_assess,comp_8_intervene,comp_9_evaluate,supervision_frequency,supervision_quality,comments_supervisor,felt_prepared,other_comments
2024-2025,bsw,Crosswinds Recovery,neither agree nor disagree,neither agree nor disagree,"what helped me most was that i got to work on school meetings, brief solution-focused sessions, and iep/504 meetings and connect class content to practice.",what was hardest for me was that i needed more client contact and fewer office tasks.,no,i cannot recommend this site right now because feedback and expectations were not clear enough.,neither agree nor disagree,neither agree nor disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,strongly disagree,strongly disagree,my afi did not create much structure for student learning. check-ins did not happen often enough and i did not get enough guidance to feel grounded. it affected my confidence more than it should have.,neither agree nor disagree,"the practicum was not all bad, but it needed more intentional planning"
2024-2025,bsw,"Rocky Mountain Development Council, Inc.",neither agree nor disagree,somewhat disagree,"i appreciated the team but the structure was inconsistent. i got meaningful exposure, but it depended a lot on the day. i learned the most when supervision actually happened on schedule",limited opportunities to apply skills directly,no,i would not recommend it because the learning opportunities were too limited,neither agree nor disagree,somewhat disagree,neither agree nor disagree,somewhat agree,somewhat agree,neither agree nor disagree,neither agree nor disagree,strongly agree,somewhat disagree,strongly agree,strongly agree,"my supervisor was supportive when available, but scheduling was inconsistent",neither agree nor disagree,
2024-2025,bsw,Core Health,somewhat agree,neither agree nor disagree,"for me, the biggest help was that i had real exposure to program analysis and policy research.",one frustration was that i had too much admin work and not enough hands-on practice.,yes,"i would recommend it with some caution because i got useful exposure to macro practice and systems work, even though it is probably best for students who can tolerate some flexibility.",neither agree nor disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,strongly agree,strongly disagree,somewhat agree,somewhat agree,"my field instructor made the environment comfortable, but expectations were still a little fuzzy. i could count on regular supervision and the feedback was direct and useful.",neither agree nor disagree,"supervision was stronger than the role design, which made the experience feel mixed overall."
2024-2025,bsw,Ag Worker Health And Services,neither agree nor disagree,neither agree nor disagree,"for me, the biggest help was that i had real exposure to resource referrals and intakes",least helpful for me was that i had too much admin work and not enough hands-on practice.,no,"no, i would not recommend it in its current form because there was too little hands-on practice for the amount of time there.",neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,"my afi gave decent feedback, but supervision was inconsistent",neither agree nor disagree,"i gained useful experience, even though the structure was uneven"
2024-2025,bsw,Encompass Community Service,neither agree nor disagree,neither agree nor disagree,"for me, the biggest help was that the day-to-day work around care navigation, program planning, and data tracking helped build my confidence. i could actually see how classroom material shows up in practicum.",what was hardest for me was that i wanted more direct practice instead of mostly observation.,no,i would not recommend this placement because i needed more direct practice and less busy work.,neither agree nor disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,somewhat disagree,"my supervisor did not invite many questions, so i held back more than i should have. the structure around supervision was not strong. the practicum would have been stronger with steadier supervision.",neither agree nor disagree,this site could improve a lot by having a clearer student role and better onboarding
2024-2025,bsw,"Center For Children, Families And Workforce Development",somewhat agree,neither agree nor disagree,"honestly, for me, the biggest help was that i could learn mobile outreach and risk assessment and then debrief after.",what was hardest for me was that some weeks felt more observational than active.,no,"i cannot recommend this site right now because i learned some things, but not enough with the level of disorganization.",somewhat agree,somewhat agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat agree,somewhat agree,strongly agree,my supervisor was one of the strongest parts of the placement. check-ins happened regularly and the feedback was direct and useful.,neither agree nor disagree,"there was learning here, but it really depended on the week"
2024-2025,bsw,Montana 10,neither agree nor disagree,neither agree nor disagree,i appreciated that i was included in partnership meetings and health fairs instead of only observing.,the least helpful part was that i had too much admin work and not enough hands-on practice.,yes,"i would still recommend it for the right student because i got to see systems work and advocacy instead of only direct service, but it is probably best for students who can tolerate some flexibility.",neither agree nor disagree,neither agree nor disagree,somewhat agree,neither agree nor disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,somewhat agree,strongly disagree,somewhat disagree,neither agree nor disagree,"my supervisor did try to help, but expectations changed and meetings were not steady. supervision got pushed back too often and expectations were not very clear.",neither agree nor disagree,i appreciated the exposure to meetings and community partnerships even when the direct practice was limited.
2024-2025,specialization,Planned Parenthood Of Montana,neither agree nor disagree,neither agree nor disagree,"the most helpful part was that the day-to-day work around group facilitation, intakes, and risk assessments helped build my confidence.",least helpful for me was that i had too much admin work and not enough hands-on practice.,yes,"i would recommend it with some caution because i grew in confidence over the course of the practicum, even though it would still help to have clearer expectations at the start.",neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,strongly disagree,somewhat agree,somewhat agree,my field instructor helped me grow without hovering over every step. check-ins happened regularly and questions were welcome.,neither agree nor disagree,this site could improve a lot by having a clearer student role and better onboarding
2024-2025,specialization,Curry Health Center,neither agree nor disagree,neither agree nor disagree,"what helped me most was that even with the issues at the site, i still learned from safety planning, resource referrals, and crisis support.",least helpful for me was that i had too much admin work and not enough hands-on practice. i spent too much time guessing what i should be doing.,no,"no, i would not recommend it in its current form because the role leaned too hard on admin work and observation.",neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,somewhat disagree,strongly agree,somewhat disagree,"my afi met often, but it felt more controlling than developmental. the structure around supervision was not strong. i got frequent feedback, but not much room to develop my own style.",neither agree nor disagree,there was too much admin work and not enough direct practice for a practicum.
2024-2025,specialization,Partners In Home Care,somewhat disagree,neither agree nor disagree,what helped me most was that i could learn advocacy and safety planning and then debrief after.,what was hardest for me was that a lot of my time went to paperwork instead of actual practice.,no,i would not recommend this placement because training was thin and the student role felt underplanned.,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,somewhat disagree,my afi met with me too infrequently to really guide the practicum. check-ins did not happen often enough and i did not get enough guidance to feel grounded.,neither agree nor disagree,"i learned meaningful things, just not in a very organized way"
2024-2025,specialization,Open Aid Alliance,neither agree nor disagree,neither agree nor disagree,"what helped me most was that i could learn interdisciplinary team meetings, brief assessments, and discharge planning and then debrief after. i could actually see how classroom material shows up in practicum.",the least helpful part was that i was often shadowing when i needed more chances to try skills myself.,no,"no, i would not recommend it in its current form because the practicum expected too much self-direction without enough support.",neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,somewhat agree,neither agree nor disagree,"my afi cared about students, but meetings were more conversational than instructional. the structure around supervision was not strong. i often needed more direction than i got. i appreciated the warmth, but i still needed clearer direction.",neither agree nor disagree,"i learned some things, but the practicum did not feel well designed for students"
2024-2025,specialization,Community Medical Center,neither agree nor disagree,neither agree nor disagree,what helped me most was that i could learn outreach and case management and then debrief after.,the least helpful part was that communication across staff was inconsistent.,yes,"i would recommend it with some caution because the supervision was useful, even though it would still help to have clearer expectations at the start.",neither agree nor disagree,somewhat agree,somewhat agree,somewhat agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,strongly agree,neither agree nor disagree,"my afi cared about students, but meetings were more conversational than instructional. support was weaker than it should have been.",neither agree nor disagree,"the practicum was not all bad, but it needed more intentional planning"
2024-2025,specialization,St. Patrick Hospital,somewhat disagree,neither agree nor disagree,what helped me most was that i got to work on case management and housing assessments and connect class content to practice.,least helpful for me was that a lot of my time went to paperwork instead of actual practice.,no,i cannot recommend this site right now because there was too little hands-on practice for the amount of time there.,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree,"honestly, my supervisor was supportive in some moments, though check-ins were often delayed. feedback was limited and often too vague. the practicum would have been stronger with steadier supervision.",neither agree nor disagree,there needs to be more structure for students before i would call this a strong placement
2024-2025,specialization,Eating Disorder Center Of Montana,neither agree nor disagree,neither agree nor disagree,i appreciated that i was included in legislative tracking and policy research instead of only observing. it made the learning agreement feel less abstract.,least helpful for me was that i was often shadowing when i needed more chances to try skills myself.,yes,"i would recommend it with some caution because i had meaningful opportunities with legislative tracking and community testimony prep, even though it was not perfect, but there was still solid learning there.",neither agree nor disagree,neither agree nor disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat agree,strongly disagree,somewhat agree,somewhat agree,"honestly, my afi was warm and encouraging, though feedback was sometimes too general. check-ins happened regularly and the feedback was direct and useful.",neither agree nor disagree,"i learned meaningful things, just not in a very organized way"
2024-2025,specialization,307 Therapy,neither agree nor disagree,neither agree nor disagree,what helped me most was that the day-to-day work around crisis support and safety planning helped build my confidence. i could actually see how classroom material shows up in practicum.,"honestly, what was hardest for me was that check-ins were not steady enough for the amount of responsibility.",yes,"i would recommend it with some caution because i got useful exposure to trauma-informed care and crisis work, even though it would still help to have clearer expectations at the start.",neither agree nor disagree,neither agree nor disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat agree,neither agree nor disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,"my supervisor gave decent feedback, but supervision was inconsistent. i did not get enough guidance to feel grounded.",neither agree nor disagree,i can see this site being a good fit for some students and not others
2025-2026,bsw,Community Medical Center,neither agree nor disagree,neither agree nor disagree,what helped me most was that i had real exposure to support groups and advocacy. it gave me a better sense of trauma-informed care.,one frustration was that a lot of my time went to paperwork instead of actual practice,no,"no, i would not recommend it in its current form because training was thin and the student role felt underplanned.",neither agree nor disagree,somewhat agree,somewhat agree,neither agree nor disagree,somewhat agree,neither agree nor disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,somewhat agree,somewhat agree,"my field instructor was professional, calm, and open to questions",neither agree nor disagree,"i learned meaningful things, just not in a very organized way"
2025-2026,bsw,Trio Student Support Services,somewhat disagree,somewhat disagree,the most helpful part was that i had real exposure to coalition work and stakeholder meetings,what was hardest for me was that i had too much admin work and not enough hands-on practice,no,"no, i would not recommend it in its current form because the role leaned too hard on admin work and observation",neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,strongly disagree,strongly agree,somewhat disagree,"my afi met often, but it felt more controlling than developmental. feedback was limited and often too vague. it affected my confidence more than it should have.",neither agree nor disagree,i left feeling more cautious than prepared
2025-2026,bsw,Paxson Elementary School,neither agree nor disagree,neither agree nor disagree,the most helpful part was that i was included in advocacy planning and community testimony prep instead of only observing.,the least helpful part was that i had too much admin work and not enough hands-on practice. that slowed down my learning.,yes,"i would still recommend it for the right student because i got useful exposure to systems work and advocacy, but it would still help to have clearer expectations at the start.",somewhat agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,strongly disagree,somewhat disagree,my field instructor met with me too infrequently to really guide the practicum. supervision got pushed back too often and support was weaker than it should have been.,neither agree nor disagree,there needs to be more structure for students before i would call this a strong placement
2025-2026,bsw,Student Advocacy Resource Center,neither agree nor disagree,neither agree nor disagree,"what helped me most was that i could learn crisis de-escalation, resource linkage, and hotline support and then debrief after",one frustration was that a lot of my time went to paperwork instead of actual practice,no,"no, i would not recommend it in its current form because i do not think the site is set up well for students right now.",somewhat disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,strongly disagree,somewhat disagree,neither agree nor disagree,"my supervisor was supportive in some moments, though check-ins were often delayed",neither agree nor disagree,"i learned some things, but the practicum did not feel well designed for students"
2025-2026,bsw,Davidson College,neither agree nor disagree,neither agree nor disagree,"what helped me most was that i got to see systems advocacy and housing coalition meetings up close, which helped me understand policy practice better.","honestly, least helpful for me was that a lot of my time went to paperwork instead of actual practice.",no,i cannot recommend this site right now because i do not think the site is set up well for students right now.,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat agree,somewhat disagree,somewhat agree,neither agree nor disagree,"my afi was kind and easy to talk to, but supervision could have used more structure. expectations were not very clear.",neither agree nor disagree,i do not think students should have to figure out this much out on their own. i appreciated the staff who answered questions when they could.
2025-2026,bsw,Logan Health Medical Center,neither agree nor disagree,neither agree nor disagree,what helped me most was that i got to work on group facilitation and progress notes and connect class content to practice.,one frustration was that i had too much admin work and not enough hands-on practice.,yes,"i would still recommend it for the right student because i had meaningful opportunities with community referrals and treatment planning, but it was not perfect, but there was still solid learning there.",neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,somewhat agree,somewhat agree,"my afi made the environment comfortable, but expectations were still a little fuzzy. i could count on regular supervision and the feedback was direct and useful. i appreciated the warmth, but i still needed clearer direction.",neither agree nor disagree,there needs to be more structure for students before i would call this a strong placement
2025-2026,bsw,Blackfeet Community College,neither agree nor disagree,neither agree nor disagree,what helped me most was that the day-to-day work around data tracking and partnership meetings helped build my confidence. i could actually see how classroom material shows up in practicum.,least helpful for me was that i was often shadowing when i needed more chances to try skills myself. i spent too much time guessing what i should be doing.,no,i would not recommend this placement because supervision was too inconsistent to support student learning well.,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,strongly disagree,somewhat disagree,neither agree nor disagree,"my field instructor gave decent feedback, but supervision was inconsistent. meetings were too infrequent for the amount of support i needed and support was weaker than it should have been.",neither agree nor disagree,the field liaison ended up being more helpful than the site when problems came up
2025-2026,bsw,Curry Health Center,neither agree nor disagree,neither agree nor disagree,"for me, the biggest help was that i could learn resource referrals, caregiver support, and support groups and then debrief after. that part felt meaningful.",least helpful for me was that check-ins were not steady enough for the amount of responsibility.,yes,"i would recommend it with some caution because i got useful exposure to community work and aps, even though it was not perfect, but there was still solid learning there.",neither agree nor disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,somewhat agree,somewhat agree,neither agree nor disagree,"my supervisor was helpful when available, but meetings got moved around a lot. feedback was limited and often too vague.",neither agree nor disagree,i can see this site being a good fit for some students and not others
2025-2026,bsw,Partnership Health Center,neither agree nor disagree,neither agree nor disagree,"for me, the biggest help was that i got to work on community assessments and data tracking and connect class content to practice.",what was hardest for me was that i wanted more direct practice instead of mostly observation.,no,"no, i would not recommend it in its current form because there was not enough support or structure from supervision.",neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree,"my supervisor did try to help, but expectations changed and meetings were not steady. feedback was limited and often too vague. that made it harder to learn steadily.",neither agree nor disagree,"i learned some things, but the practicum did not feel well designed for students"
2025-2026,generalist,Child And Family Service Department,somewhat agree,somewhat disagree,"i learned quite a bit, but i needed more direction. the role was broader than i expected, which was helpful at times but confusing at others",the first few weeks felt unstructured,no,i would not recommend it because the learning opportunities were too limited,neither agree nor disagree,neither agree nor disagree,somewhat agree,somewhat agree,strongly disagree,neither agree nor disagree,somewhat agree,somewhat agree,neither agree nor disagree,somewhat agree,somewhat agree,supervision was regular and i felt comfortable asking questions,neither agree nor disagree,
2025-2026,generalist,United Way Of The Lewis And Clark Area,neither agree nor disagree,neither agree nor disagree,"for me, the biggest help was that i got to work on health fairs and care navigation and connect class content to practice.",the least helpful part was that a lot of my time went to paperwork instead of actual practice.,no,"honestly, i cannot recommend this site right now because there was too little hands-on practice for the amount of time there.",neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,somewhat agree,somewhat agree,"my afi made the environment comfortable, but expectations were still a little fuzzy. meetings were consistent and supervision helped me connect class content to practice. i appreciated the warmth, but i still needed clearer direction.",neither agree nor disagree,i left feeling more cautious than prepared
2025-2026,generalist,International Rescue Committee,neither agree nor disagree,neither agree nor disagree,"for me, the biggest help was that i had real exposure to intakes and case management.",the least helpful part was that a lot of my time went to paperwork instead of actual practice.,no,"no, i would not recommend it in its current form because the practicum expected too much self-direction without enough support.",neither agree nor disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,strongly disagree,somewhat agree,somewhat disagree,"my supervisor was helpful when available, but meetings got moved around a lot. feedback was limited and often too vague.",neither agree nor disagree,this site could improve a lot by having a clearer student role and better onboarding
2025-2026,generalist,Missoula Alliance Church,neither agree nor disagree,neither agree nor disagree,"for me, the biggest help was that the clients and day-to-day tasks around discharge planning and chart review taught me more than the structure did.",one frustration was that i had too much admin work and not enough hands-on practice.,no,"honestly, no, i would not recommend it in its current form because there was not enough support or structure from supervision.",somewhat disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,"my afi did try to help, but expectations changed and meetings were not steady. check-ins did not happen often enough and feedback was limited and often too vague.",neither agree nor disagree,this site could improve a lot by having a clearer student role and better onboarding
2025-2026,generalist,Missoula Food Bank,neither agree nor disagree,neither agree nor disagree,"for me, the biggest help was that the day-to-day work around coalition work, community testimony prep, and stakeholder meetings helped build my confidence.",least helpful for me was that too much time went to meeting prep.,yes,"i would recommend it with some caution because the site helped me build practice skills that felt transferable, even though it was not perfect, but there was still solid learning there.",neither agree nor disagree,somewhat agree,somewhat agree,somewhat agree,somewhat agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat agree,neither agree nor disagree,somewhat disagree,"my supervisor gave decent feedback, but supervision was inconsistent. i did not get enough guidance to feel grounded.",neither agree nor disagree,"i gained useful experience, even though the structure was uneven. the team was kind even when the structure was weak."
2025-2026,generalist,Partnership Health Center,neither agree nor disagree,neither agree nor disagree,"honestly, i appreciated that i was included in resource referrals and support groups instead of only observing.","honestly, least helpful for me was that i had a hard time knowing if i was meeting expectations.",no,i cannot recommend this site right now because feedback and expectations were not clear enough.,neither agree nor disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat agree,somewhat agree,somewhat disagree,"my field instructor wanted everything done a certain way, which made it harder to build confidence. feedback was limited and often too vague. the practicum would have been stronger with steadier supervision.",neither agree nor disagree,"there was learning here, but it really depended on the week"
2025-2026,generalist,Missoula Interfaith Collaborative,somewhat disagree,somewhat disagree,i appreciated that i could learn documentation and intakes and then debrief after. it made the learning agreement feel less abstract.,one frustration was that i had too much admin work and not enough hands-on practice.,no,i cannot recommend this site right now because i needed more direct practice and less busy work.,somewhat disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,strongly disagree,strongly disagree,my supervisor left me guessing about expectations more than i should have been. i needed more regular meetings than i received and support was weaker than it should have been.,neither agree nor disagree,i left feeling more cautious than prepared. this site might work better for someone with more prior experience.
2025-2026,specialization,Child And Family Service Department,neither agree nor disagree,neither agree nor disagree,"for me, the biggest help was that i got to work on hospital rounds and brief assessments and connect class content to practice.",one frustration was that i needed more client contact and fewer office tasks.,no,i cannot recommend this site right now because the placement lacked structure in ways that affected learning.,neither agree nor disagree,neither agree nor disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,strongly disagree,"my afi was not openly rude, but the supervision space did not feel very supportive. support was weaker than it should have been.",neither agree nor disagree,"there was learning here, but it really depended on the week"
2025-2026,specialization,Aware Inc.,somewhat disagree,neither agree nor disagree,"for me, the biggest help was that i got to work on wellness planning and community meetings and connect class content to practice. i could actually see how classroom material shows up in practicum.",one frustration was that student tasks were not well planned.,no,i would not recommend this placement because there was not enough support or structure from supervision.,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,somewhat agree,strongly disagree,"my afi met often, but it felt more controlling than developmental. the structure around supervision was not strong. that made it harder to learn steadily. i got frequent feedback, but not much room to develop my own style.",neither agree nor disagree,"i learned meaningful things, just not in a very organized way"
2025-2026,specialization,Curry Health Center,neither agree nor disagree,neither agree nor disagree,"for me, the biggest help was that i had real exposure to shift handoff and hotline support.",least helpful for me was that training felt thin and i was expected to figure out too much on my own.,no,i would not recommend this placement because i do not think the site is set up well for students right now.,neither agree nor disagree,somewhat agree,somewhat agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,"my field instructor gave decent feedback, but supervision was inconsistent. the structure around supervision was not strong.",neither agree nor disagree,"there was learning here, but it really depended on the week"
2025-2026,specialization,Ywca,somewhat disagree,somewhat disagree,"for me, the biggest help was that i got to work on crisis support and documentation and connect class content to practice",least helpful for me was that i had too much admin work and not enough hands-on practice,no,i cannot recommend this site right now because i do not think the site is set up well for students right now,somewhat disagree,neither agree nor disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,somewhat disagree,somewhat disagree,somewhat disagree,"my afi was not openly rude, but the supervision space did not feel very supportive",neither agree nor disagree,"i gained useful experience, even though the structure was uneven"
2025-2026,specialization,Shodair Childrens Hospital,neither agree nor disagree,somewhat agree,"i appreciated that i had real exposure to safety planning, court accompaniment, and crisis support.",least helpful for me was that i wanted more direct practice instead of mostly observation.,yes,"i would recommend it with some caution because i grew in confidence over the course of the practicum, even though it was not perfect, but there was still solid learning there.",neither agree nor disagree,somewhat agree,somewhat agree,somewhat agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,strongly disagree,somewhat agree,neither agree nor disagree,"my field instructor was warm and encouraging, though feedback was sometimes too general. support was weaker than it should have been. that made it harder to learn steadily.",neither agree nor disagree,"the practicum was not all bad, but it needed more intentional planning. clearer student expectations would help."
2025-2026,specialization,Crosswinds Recovery,somewhat disagree,somewhat disagree,i appreciated that the clients and day-to-day tasks around safety planning and case management taught me more than the structure did.,the least helpful part was that i had too much admin work and not enough hands-on practice. that slowed down my learning.,no,i cannot recommend this site right now because i do not think the site is set up well for students right now.,somewhat disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,somewhat disagree,somewhat disagree,strongly disagree,my supervisor gave limited feedback and the dynamic felt stiff. check-ins did not happen often enough and feedback was limited and often too vague.,neither agree nor disagree,the field liaison ended up being more helpful than the site when problems came up. the team was kind even when the structure was weak.
2025-2026,specialization,Peachtree Pediatric Therapy Center,neither agree nor disagree,neither agree nor disagree,"the most helpful part was that even with the issues at the site, i still learned from resource navigation and advocacy. i could actually see how classroom material shows up in practicum.",one frustration was that i was often shadowing when i needed more chances to try skills myself.,no,i cannot recommend this site right now because there was not enough support or structure from supervision.,somewhat disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree,"my supervisor did not invite many questions, so i held back more than i should have. expectations were not very clear.",neither agree nor disagree,i left feeling more cautious than prepared
2025-2026,specialization,Partnership Health Center,neither agree nor disagree,neither agree nor disagree,the most helpful part was that i could learn community planning and policy review and then debrief after.,least helpful for me was that a lot of my time went to paperwork instead of actual practice,yes,"i would recommend it with some caution because the site helped me build practice skills that felt transferable, even though it was not perfect, but there was still solid learning there",neither agree nor disagree,neither agree nor disagree,somewhat agree,neither agree nor disagree,somewhat agree,neither agree nor disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,"my supervisor was supportive in some moments, though check-ins were often delayed",neither agree nor disagree,i can see this site being a good fit for some students and not others
2025-2026,specialization,Alluvion Health,neither agree nor disagree,neither agree nor disagree,"the most helpful part was that i got to work on court accompaniment, crisis support, and warm handoffs and connect class content to practice.","honestly, one frustration was that check-ins were not steady enough for the amount of responsibility.",yes,"i would still recommend it for the right student because i got useful exposure to trauma-informed care and direct practice, but i would have liked a little more structure in the student role.",somewhat agree,somewhat agree,somewhat agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat agree,neither agree nor disagree,somewhat agree,somewhat agree,neither agree nor disagree,"honestly, my afi met often, but it felt more controlling than developmental. the structure around supervision was not strong.",neither agree nor disagree,
2025-2026,specialization,Families First Learning Lab,somewhat disagree,neither agree nor disagree,the most helpful part was that i got to work on family outreach and life skills coaching and connect class content to practice.,what was hardest for me was that a lot of my time went to paperwork instead of actual practice.,no,"no, i would not recommend it in its current form because there was not enough support or structure from supervision.",neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,neither agree nor disagree,somewhat disagree,strongly disagree,my supervisor did not provide enough feedback for me to know how i was doing. supervision got pushed back too often and feedback was limited and often too vague. it affected my confidence more than it should have.,neither agree nor disagree,i was more prepared by my own effort than by the site structure.
2025-2026,specialization,David J. Thatcher Va Clinic,neither agree nor disagree,neither agree nor disagree,the most helpful part was that i was included in case management and advocacy instead of only observing. i could actually see how classroom material shows up in practicum.,one frustration was that the student role was not structured very well.,no,i would not recommend this placement because there was too little hands-on practice for the amount of time there.,neither agree nor disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,somewhat agree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,strongly agree,somewhat agree,"my afi gave clear, steady guidance throughout the practicum. check-ins happened regularly and questions were welcome.",neither agree nor disagree,i can see this site being a good fit for some students and not others
2025-2026,specialization,University Of Phoenix,somewhat disagree,neither agree nor disagree,the most helpful part was that the day-to-day work around hospital rounds and chart review helped build my confidence,least helpful for me was that i needed more client contact and fewer office tasks,no,i cannot recommend this site right now because the practicum expected too much self-direction without enough support.,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree,somewhat disagree,somewhat disagree,strongly disagree,"my supervisor was not openly rude, but the supervision space did not feel very supportive",neither agree nor disagree,this site could improve a lot by having a clearer student role and better onboarding
