academic_year,agency_name,agency_name_display,comments_supervisor,least_helpful,most_helpful,other_comments,recommend_reason
2023-2024,"new day, inc","New Day, Inc.",it was great to learn different perspectives and therapy models from different afis.,it felt like there wasn't a structured communication channel or procedures in place for student interns. the agency supervisors were considerate of my feedback and listened to my concerns openly.,afi's were able to quickly identify my areas of need and area which i was competent. i felt valued at this agency while also not expected to know everything. i was greeted with fulfilling learning opportunities.,,ability to work independently with support from supervisors.
2023-2024,tri-valley haven,Tri-Valley Haven,"olga was gracious enough to provide afi services during both years of my practicum. this created a great deal of trust and a feeling of mentorship throughout the experience. during the last year i was somewhat on the same level of management as olga, but i was still able to get feedback from someone i trusted. she wasn't in my direct chain of command, so i didn't feel as though the feedback was derogatory or punitive.","at times i was so busy that it was difficult to slow down and really look at which social work principals were in use. however, i do feel like i was able to work on all areas of importance for a social worker.",the ability to get feedback in a consistent manner was incredibly helpful.,"i was able to see the reality of ""the system"" and how it fails many. i also saw the changes people can make if they really want to work against the current realities of an agency or process that people have a difficult time navigating.","the agency was very open to having practicum students. i felt completely welcome and not as though i was ""just a student"". during the year that i was completely unpaid, they did not add any additional tasks and made sure the experience was focused on getting the experiences i needed."
2023-2024,paris gibson alternative education,Paris Gibson Alternative Education,my afi randy provided great supervision throughout my practicum experience. randy gave me everything that i needed in order to reach my learning agreement goals and ability to feel confident and accomplished throughout my time spent at paris gibson alternative highschool. randy contributed to connections that i made with both students and facility here at paris.,the least helpful area that i encountered here at my practicum agency was the ability to try and keep up. it is a fast past environment and i found it difficult to try and work on the same thing in a continuous manner.,the most helpful aspect of my practicum experience here at this agency was being able to work with a population of people i have yet to work with. another helpful aspect of this practicum experience was being able to gain rapport building skills with clients. this practicum agency offered me several different unique learning experiences that helped form different perspectives and outlooks than i had before.,,"yes, i would recommend this practicum agency to another student that shares the same goals as me. i have learned numerous skills and have learned how to apply them while at my practicum site. this agency is enriching and encouraging to practicum students and helps msw students reach their practicum goals in a positive manner."
2023-2024,missoula early head start,Missoula Early Head Start,"my supervisor was supportive when available, but scheduling was inconsistent",some of the policy work was harder to understand at first,i learned a lot through direct practice and feedback. my afi gave useful feedback and explained the why behind the work. i also appreciated exposure to policy discussions and community partnerships,i felt more prepared by the end of the placement,i would recommend this placement because the support and learning opportunities were strong
2024-2025,youth dynamics,Youth Dynamics,"my afi was supportive in some moments, though check-ins were often delayed. support was weaker than it should have been.",one frustration was that feedback came too late to be useful some weeks.,the most helpful part was that i was included in case planning and court-related prep instead of only observing.,"i felt more prepared by the end, especially around boundaries and documentation",i would recommend this placement because i had meaningful opportunities with documentation and home visits.
2024-2025,"new day, inc","New Day, Inc.",my afi took time to explain decisions and process difficult situations,there were slow periods with fewer tasks,"i had strong support from my afi. i had chances to do documentation, observe assessments, and build confidence. i liked seeing how the program connected with families and partner agencies",,i would recommend this placement because the support and learning opportunities were strong
2025-2026,shepherd's pantry,Shepherd's Pantry,supervision was strong throughout the placement. my afi checked in regularly and offered clear direction,,good exposure to practice,i would still like a little more exposure to referrals but overall the placement was valuable,"i would recommend this placement because i felt welcomed, challenged, and well supported"
2025-2026,center for restorative youth justice,Center For Restorative Youth Justice,my supervisor helped connect practice to ethics and reflection,the first few weeks felt unstructured,"i felt like the placement gave me room to grow. my afi gave useful feedback and explained the why behind the work. group work, outreach, and community collaboration were helpful",overall this was a strong learning experience,i would recommend it for students who want meaningful practice experience
2025-2026,child and family service department,Child And Family Service Department,supervision was regular and i felt comfortable asking questions,there were slow periods with fewer tasks,i felt like the placement gave me room to grow. the staff were welcoming and treated me like part of the team. i liked seeing how the program connected with families and partner agencies,,i would recommend it for students who want meaningful practice experience
2025-2026,st. patrick hospital,St. Patrick Hospital,"my supervisor did not come from the university of montana but walla walla education. toward the end of my time she spoke poorly of the um and more highly of walla walla's program. it put me in a uncomfortable situation. i was not able to have a full discussion with her understanding her reasoning. i think toward the end there was a negative sense toward the university of montana social work program. i mention this, because i would not like another um msw student to be placed here and meet up against this same type of resistance.",not being able to take on my own client because of billing. i did a lot of shadowing! which was helpful but difficult for a full year.,knowing what integrate behavioral health could look like in a rural setting.,"thank you so much! i would love to see the university of montana provide more rural opportunities outside missoula. so, this was great to have a practicum the salish and kootenai reservation! i was really able to practice what we talk about in class. i would have loved to work more alongside tribal health or community health efforts also.","maybe, i think this was a hard placement. there were opportunities to do programmatic tasks for the hospital setting. however, if you want more of a clinical experience there is a lot of shadowing and not many opportunities to do clinical work. maybe if there was a different supervisor. the current supervisor was very busy and she really left it up to me to create my own practicum opportunities. there are others lcsw at the hospital that were more free to help challenge my learning. so i took those opportunities to work alongside other lcsw and case managment nurses."
2025-2026,missoula parks and recreation,Missoula Parks And Recreation,"my afi was available, thoughtful, and gave clear feedback",the first few weeks felt unstructured,"the most helpful part was getting hands-on experience. i was included in meetings and had regular check-ins. i gained confidence with documentation, rapport, and treatment planning",i felt more prepared by the end of the placement,i would recommend this placement because the support and learning opportunities were strong
2025-2026,trillium family services,Trillium Family Services,"my afi was available, thoughtful, and gave clear feedback",there were slow periods with fewer tasks,i had strong support from my afi. the staff were welcoming and treated me like part of the team. i also appreciated exposure to policy discussions and community partnerships,,i would recommend it because the team made learning a priority
2014-2015,juvenile probation,Juvenile Probation,"there were weeks when supervision felt rushed, which limited deeper reflection.","i learned a lot, but i would have liked more direct practice with clients.",research practice was helpful because it showed how social work knowledge can inform policy and program development. this helped me apply the strengths perspective in practice.,,"i would only recommend this setting if a student is highly independent, because the learning structure was not always clear. the main concerns were less direct practice, limited client contact."
2016-2017,st. patrick hospital,St. Patrick Hospital,"supervision was okay overall, but some weeks felt rushed or unclear",supervision was helpful but not always consistent week to week,"it helped me understand advocacy, systems change, and how agencies make decisions, even though i wanted more guidance overall",the agency mission was strong even if the supervision varied,"no, because the role did not provide enough support or enough meaningful practicum learning"
2016-2017,montana 10,Montana 10,"feedback was helpful, though expectations shifted at times",there were times when expectations were not clear,"it was helpful to understand how programs are run and how staff work together across services, even though i wanted more guidance overall",overall i still learned a lot from the experience,"no, the placement did not feel organized enough to support student learning well"
2017-2018,crisis text line,Crisis Text Line,my supervisor was polite but hard to reach. meetings were too infrequent for the amount of support i needed and i did not get enough guidance to feel grounded.,one frustration was that i wanted more direct practice instead of mostly observation. that slowed down my learning.,"for me, the biggest help was that i had real exposure to program analysis and stakeholder meetings.",i left feeling more cautious than prepared,i would not recommend this placement because supervision was too inconsistent to support student learning well.
2019-2020,office of the state public defender,Office Of The State Public Defender,meetings were infrequent and expectations were not clearly communicated,communication and structure were both lacking,"seeing how data, planning, and community input came together was very useful, even though i wanted more guidance overall",,"no, because the role did not provide enough support or enough meaningful practicum learning"
2020-2021,encompass community service,Encompass Community Service,expectations were not always clear and follow-up was minimal,,supervision was inconsistent and that affected my learning. the learning agreement was not used much in practice. i wanted more feedback around direct practice skills,,i would not recommend it for a student who needs consistent support
2020-2021,cameron r-1 school district,Cameron R-1 School District,supervision was inconsistent and i often had to ask repeatedly for direction,i needed more supervision and clearer expectations,"the most helpful part was seeing how policy and systems decisions affect day-to-day services, even though i wanted more guidance overall",this site could work well for the right student,"no, the placement did not feel organized enough to support student learning well"
2022-2023,"center for children, families and workforce development","Center For Children, Families And Workforce Development",supervision was inconsistent and i often had to ask repeatedly for direction,there were times when expectations were not clear,"seeing how data, planning, and community input came together was very useful, but i had to be flexible",more onboarding would make a big difference,i would recommend it with some caution because the learning was meaningful even though the structure was mixed
2022-2023,trotting horse therapeutic riding,Trotting Horse Therapeutic Riding,"my supervisor was supportive when available, but support depended on how busy the week was",i wanted more chances to practice independently,the best part was exposure to referrals and working with staff who were willing to answer questions,na,i would not recommend this placement because the support and learning opportunities were too inconsistent
2022-2023,bozeman school district 7,Bozeman School District 7,meetings were infrequent and expectations were not clearly communicated,i wanted more client contact and less shadowing only,"i appreciated the trauma-informed approach and the way staff talked through real cases, even though i wanted more guidance overall",i would have liked a little more direct feedback,i would not recommend it unless major improvements were made around training and communication
2023-2024,curry health center,Curry Health Center,"my afi cared about student learning, but the pace of the site made supervision uneven",limited opportunities to apply skills directly. unclear expectations from the start. scheduling could be difficult at times,i did not get enough direct practice experience. the learning agreement was not used much in practice. i wanted more feedback around direct practice skills,the placement needs better structure for students,i would not recommend it unless the supervision and structure improve
2023-2024,blackfeet community college,Blackfeet Community College,"my field instructor did try to help, but expectations changed and meetings were not steady. i did not get enough guidance to feel grounded.",one frustration was that i was often shadowing when i needed more chances to try skills myself.,"for me, the biggest help was that i got to work on resource education, health fairs, and care navigation and connect class content to practice.",the field liaison ended up being more helpful than the site when problems came up. the onboarding process needs work.,"no, i would not recommend it in its current form because supervision was too inconsistent to support student learning well."
2024-2025,the parenting place,The Parenting Place,i needed clearer feedback and more regular meetings,inconsistent supervision. there were slow periods with fewer tasks,i did not get enough direct practice experience. i mostly shadowed or did admin tasks. i wanted more defined tasks and clearer learning goals,,i would not recommend it for a student who needs consistent support
2025-2026,university of phoenix,University Of Phoenix,"my supervisor made the environment comfortable, but expectations were still a little fuzzy. i did not get enough guidance to feel grounded.",one frustration was that a lot of my time went to paperwork instead of actual practice. it is hard to grow when the structure is that loose.,i appreciated that the clients and day-to-day tasks around health fairs and partnership meetings taught me more than the structure did.,i left feeling more cautious than prepared,i would not recommend this placement because the practicum expected too much self-direction without enough support.
2025-2026,montana 10,Montana 10,"my supervisor was professional, calm, and open to questions",least helpful for me was that i wanted more direct practice instead of mostly observation.,what helped me most was that the day-to-day work around policy review and community planning helped build my confidence,"i learned some things, but the practicum did not feel well designed for students",i would not recommend this placement because i needed more direct practice and less busy work
2014-2015,casa for children,Casa For Children,,,"i appreciated seeing ethical decision-making used in supervision, documentation, and client advocacy. i could see how assessment, intervention, and evaluation work together.",,"i would recommend this placement because it supported my growth in ethical decision-making, documentation, and engagement with clients and systems. the strongest areas were active listening, crisis intervention."
2014-2015,ywca,Ywca,"supervision was one of the strongest parts of the practicum because i received clear guidance, accountability, and encouragement.",documentation sometimes felt repetitive and took time away from direct learning.,"i learned a great deal about community resources, referral processes, and the helping network available to clients. it connected well with social justice and self-determination.",the experience deepened my understanding of social work roles across systems.,"yes, i would recommend this agency because i gained practical experience in assessment, intervention, and professional development with consistent support. the strongest areas were case management, assessment."
2014-2015,russell elementary,Russell Elementary,"there were weeks when supervision felt rushed, which limited deeper reflection.","i learned a lot, but i would have liked more direct practice with clients.",i learned a lot from community-based research and how it can support social planning and advocacy.,,"i would recommend this placement to another student because the supervision, learning climate, and exposure to social work roles were all strong. the strongest areas were policy practice, research practice."
2014-2015,standing together against rape (star),Standing Together Against Rape (Star),,the documentation burden could be heavy and sometimes limited opportunities for direct work.,"learning harm reduction in practice was one of the best aspects of placement because it connected theory, ethics, and engagement.",the experience deepened my understanding of social work roles across systems.,"yes. the agency provided helpful supervision, opportunities for direct practice, and a clear connection between theory and practice. the strongest areas were motivational interviewing, assessment."
2014-2015,encompass community service,Encompass Community Service,,"relapse and crisis cycles were educational, but at times difficult because progress was not always linear.","learning harm reduction in practice was one of the best aspects of placement because it connected theory, ethics, and engagement. this helped me apply the strengths perspective in practice.",i appreciated the agency culture and the commitment to client self-determination.,"the agency offered some good exposure, but i would hesitate to recommend it broadly because supervision and feedback were variable. the main concerns were high emotional intensity, relapse complexity."
2015-2016,vocational rehab,Vocational Rehab,,,"resource linkage was very helpful because it taught me how to translate assessment into practical support. i could see how assessment, intervention, and evaluation work together.",,"i would recommend this placement to another student because the supervision, learning climate, and exposure to social work roles were all strong. the strongest areas were case management, home visits."
2016-2017,great falls rescue mission cameron family center,Great Falls Rescue Mission Cameron Family Center,,"though the afterschool program was important, i do feel that it did not contribute to my education as much as other activities did.",the interactions with the people that live there. i got to meet with many wonderful people and i got to learn how to interact with people from many different backgrounds.,,the practicum has great people who are all willing to help with anything a student may need.
2016-2017,open aid alliance,Open Aid Alliance,,"the least helpful aspect of my practicum agency was the limited opportunity for direct client advocacy beyond eligibility determinations, which restricted deeper engagement with clients' broader needs.","the most helpful aspect of my practicum agency was the hands-on experience with real cases, which gave me a deeper understanding of how policies impact clients' daily lives.",,"yes, i would recommend my practicum agency to another student with similar goals because it provides a strong foundation in public assistance programs, policy application, and fast-paced case processing that is essential for understanding systemic social work."
2016-2017,southern piegan health center,Southern Piegan Health Center,the afi was very supportive of what i was working toward. she allowed me to learn by my mistakes. she always set time aside for what i was in need of.,there was no negative aspect that i encountered at my place of practicum.,the most helpful thing about the agency where i completed my practicum was the ability to make mistakes and learn without judgment. the staff was supportive of my goals.,,
2016-2017,boys and girls club,Boys And Girls Club,,the idea that i worked in one area limited at times opportunities in which i could look for moments to coach and direct youths behaviors when issues came up.,the practicum location i worked with this year provided me with real time opportunities to work with youth and help them solve their issues and if i needed to explore more about the clubs way of running things the opportunity was always there.,,this practicum location provided the opportunity especially if youth is an interest area. to work with youth that come from different stages and issues in life that need a positive support model.
2016-2017,spotted bull recovery resource center,Spotted Bull Recovery Resource Center,she was an amazing teacher and i am going to miss working with her.,n/a as everything was beneficial.,all the experiences i was able to participate in.,it is one of a kind,"locally, there is not much places to do practicum for social work students. but this place exceeded not only my expectations but my msw supervisor and others."
2016-2017,shodair childrens hospital,Shodair Childrens Hospital,i am very grateful that i was able to work alongside kristin for this experience.,"it is hard to identify anything that was least helpful or educational, what i will say is that i actively was seeking out as much learning opportunities as i could. so, this did not leave a lot of room for things that were less educational as i tried to take as much out as i could throughout the experience.",being proactive about getting the education i need to succeed in my career. i constantly have to be seeking out ways to better my knowledge and myself. learning from those with a msw or higher was one of the most beneficial pieces my practicum agency was able to provide.,,
2016-2017,recreate nz,Recreate Nz,,coworkers without social work background- i believe it would have benefited my learning experience to be working directly with people that had similar educational background.,direct client engagement.,,great organization that is willing to be flexible to accommodate and support all the learning activities interns desire to incorporate.
2016-2017,child and family service department,Child And Family Service Department,this was not a positive experience overall. there was improvement in supervision as the year went on but there were new negative experiences to go with it. i spent a lot of time fearful of losing my job in exchange for my practicum.,it was a struggle to get practicum tasks approved which often lead to a delay or lack of conversation about what i learned.,i had access to a lot of field workers to learn from and ask questions. i was also able to look through the forms they use and get a better picture of what they do in their daily jobs.,,i believe that work based practicums are less helpful than they would appear. there is a lot of convenience to doing your practicum at your job but the learning capabilities are stunted. there are also the concerns of the practicum and your work overlapping and one causing issues in the other.
2016-2017,missoula early head start,Missoula Early Head Start,,"working in the drop in daycare, as this was already my job before practicum.","learning about the funding the ymca receives was very educational and showed me i may want to pursue nonprofit administration in the future. facilitating small groups in the after school program was also very impactful and showed me that i do have the skills to lead groups, especially with children.",,"the staff is very supportive and the ymca is related to many state programs, such as best beginnings and offers exposure to a wide range of kids from many different ses and other factors."
2016-2017,youth homes,Youth Homes,"i appreciated my outside supervisor, but my afi at times did not have the answers i was looking for because he did not have a bachelor's in social work or a related field. so, at times it was better to go to our supervisor rather than afi, but it was nice having a combo deal where i could get multiple sides of the perspective.",at times it felt like my voice wasn't heard when it needed to be and it felt as if i did not have the room to speak on some topics because other staff made me feel as if i didn't know anything for various reasons.,"learning how to control my own emotions and regulate myself when my clients are escalating around me. i have also learned to take my bias out of the equation when it comes to religion or other things i may not agree with, and remain supportive of my clients despite their differences.",,
2016-2017,benefis health system,Benefis Health System,,data entry,micro work with clients on the help line,,"i believe that the benefis health system had proven invaluable as a resource for student growth into a more professional role as a social worker in working with groups, planning presentations, resource database work and educational work."
2016-2017,st. patrick hospital,St. Patrick Hospital,excellent staff and entirely competent registered nurses!,"what i found least educational was the time spent being largely idle—completing homework rather than engaging directly with residents or clinical processes. at the nursing home, i wanted more hands-on interaction with older adults and exposure to resident documentation workflows. in the clinic setting, i wasn’t able to access or use the electronic health record system, nor connect with any patients in person, which limited my skill development in patient assessment and charting. going forward, i hope to find a practicum placement that better leverages my bsw training by offering structured opportunities to practice documentation and direct client engagement.","my practicum at the nursing home was exceptionally educational because it immersed me in a compassionate older-adult community within a well-maintained facility. the unit was exceptionally clean and organized, and the staff consistently demonstrated kindness, patience, and efficiency. my afis were open to my questions, encouraged exploration, and provided abundant learning opportunities, which deepened my understanding of geriatric care and professional collaboration.","i’m very grateful for the opportunity to complete this practicum. it helped me establish a consistent schedule and brought much needed routine to my days, teaching me how to balance my academic responsibilities alongside practical work experience","within my learning goals, hands-on client engagement, exposure to documentation process, and use of electronic health record systems, i would not recommend this particular practicum site for another student with similar objectives. while the facility is well-run and the staff are kind, the placement did not offer sufficient opportunities for direct interaction with residents or practical training in charting and computer use. this may be due to a nursing staff environment, not social work training. for students seeking a practicum that fully utilizes their bsw skills, i would suggest a setting that combines client-facing responsibilities with a bit more structured instruction in documentation and electronics health records management, definitely!"
2016-2017,catalyst mt,Catalyst Mt,,data entry? i believed that everything i did during my practicum was helpful or educational in some capacity.,my supervision check-ins were always super productive and kept me on track throughout the entire practicum.,i really appreciate that catalyst paid me. it made a significant difference throughout the year and helped prevent me from incurring debt. i appreciate that the organization practices what it preaches.,
2016-2017,habitat for humanity of gallatin valley,Habitat For Humanity Of Gallatin Valley,,"while my practicum at habitat for humanity was a positive and enriching experience, one area that was less helpful from a learning standpoint was the occasional lack of structure in daily tasks or project assignments. as someone who thrives on clear expectations and defined goals, there were moments when i found it challenging to navigate unstructured time or determine how to best contribute without more direct guidance. that said, this also became a valuable learning experience in itself. it pushed me to take more initiative, ask for clarification when needed, and become more comfortable working independently in a professional setting. it taught me how to be resourceful and proactive, skills that i know will serve me well in any future role.","one of the most helpful and educational aspects of my practicum at habitat for humanity was the supportive and intentional supervision i received throughout the experience. both jeneffer and brian played a key role in my professional development by providing consistent feedback, encouraging reflection, and creating a space where i felt comfortable asking questions and exploring new ideas. their guidance helped me recognize my strengths, identify areas for growth, and build confidence in my abilities.",,
2016-2017,international rescue committee,International Rescue Committee,"i had like 4 different afi so it is hard to be very positive about this expereince as it was difficult to nail someone down and make sure i was getting the supervision i needed at times. but when i was able to get supervision, it was extremly satisfactory.","the constant switching around of teams and sometimes lack or work to do, and communication of who i was supposed to report to.",the hands on experience i had working with clients and understanding the administative components that go towards working in a non-profit.,,i would say the work i did here was extremly rewarding and was a great experience. this position not being a paid practicum was extremly difficult trying to work around my paid job work schedule and ensuring my rent gets paid on time.
2016-2017,prairie hills recovery center,Prairie Hills Recovery Center,i couldn't have had a better afi. i appreciate karen so much!,"i feel being such a small, rural community and the agency being so small that sometimes the professional v. personal relationships get intertwined. i wouldn't change it for the world, but sometimes i feel we tread into a more personal vs. professional relationship with other staff members.",the help from afi and direct supervisor. they provided a space that felt welcoming and helpful when i had questions or concerns.,,
2016-2017,trotting horse therapeutic riding,Trotting Horse Therapeutic Riding,,me being a first time student through them.,the in person experience.,,it was a good experience.
2017-2018,big sky palliative & hospice,Big Sky Palliative & Hospice,,the lack of structure and supervision.,working directly with clients.,,"it was extremely disorganized, the only way i succeeded here was by pestering the social workers for clients to see and work to do. it was extremely self-initiated."
2017-2018,western montana's lgbtq+ community center,Western Montana's Lgbtq+ Community Center,,the fast pace sometimes limited time for reflection and more in-depth teaching.,i learned a lot from brief intervention work and how social workers make meaningful use of short client contact. this helped me apply the strengths perspective in practice.,,"i would recommend this placement because it supported my growth in ethical decision-making, documentation, and engagement with clients and systems. the strongest areas were documentation, assessment."
2018-2019,denver human services,Denver Human Services,,"the work was meaningful, but the level of exposure to trauma sometimes felt difficult to balance with learning needs.","i gained strong exposure to crisis intervention and risk assessment, and the supervision helped me process difficult cases using an ethical decision-making framework.",,"yes. the agency provided helpful supervision, opportunities for direct practice, and a clear connection between theory and practice. the strongest areas were crisis intervention, clinical supervision."
2018-2019,logan health medical center,Logan Health Medical Center,"my afi provided reflective supervision and helped me think critically about assessment, intervention, and documentation.",,"i valued the opportunity to work on evaluation, social indicators, and evidence-based recommendations. it connected well with social justice and self-determination.",,"yes, i would recommend this agency because i gained practical experience in assessment, intervention, and professional development with consistent support. the strongest areas were community-based research, social indicators."
2018-2019,missoula food bank,Missoula Food Bank,,the least helpful part was inconsistent structure around projects and expectations.,capacity building and outreach work helped me think about sustainable development and long-term systems change.,,"i would only recommend this setting if a student is highly independent, because the learning structure was not always clear. the main concerns were changing priorities, limited clinical depth."
2018-2019,turning winds,Turning Winds,,there were fewer opportunities to observe experienced practitioners live.,"the most helpful learning came from crisis calls where active listening, reflection, and documentation all mattered.",,"i would recommend this placement because it offered strong supervision, meaningful learning opportunities, and clear integration of social work values into practice. the strongest areas were ethical decision-making, crisis intervention."
2018-2019,"rocky mountain development council, inc","Rocky Mountain Development Council, Inc.","supervision was supportive at times, but scheduling inconsistency made it harder to build continuity.","there was a lot of paperwork, and at times i wanted more balance between administrative work and client contact.",the most helpful part was learning resource linkage and case management in a strengths-based way. it also reinforced a person-in-environment perspective.,,"yes, i would recommend this agency because i gained practical experience in assessment, intervention, and professional development with consistent support. the strongest areas were resource linkage, strengths perspective."
2018-2019,la family housing,La Family Housing,,"documentation burden was manageable, but it did reduce flexibility for other learning tasks.","the most helpful part was seeing harm reduction used in a respectful, strengths-based way. this helped me apply the strengths perspective in practice.",the experience deepened my understanding of social work roles across systems.,"the agency offered some good exposure, but i would hesitate to recommend it broadly because supervision and feedback were variable. the main concerns were documentation burden, high emotional intensity."
2018-2019,bozeman school district 7,Bozeman School District 7,,"there was a lot of paperwork, and at times i wanted more balance between administrative work and client contact.",the most helpful part was seeing strengths-based practice modeled consistently.,overall this was a meaningful practicum and helped me clarify my future field interests.,"this placement had strengths, but i would be cautious recommending it unless a student is comfortable with ambiguity and limited direct support. the main concerns were role ambiguity, paperwork."
2018-2019,benefis health system,Benefis Health System,"i appreciated the supervision style; feedback was timely, strengths-based, and connected to real cases.",travel and scheduling across sites sometimes reduced time available for supervision and debriefing.,"the most helpful part was seeing strengths-based practice modeled consistently. i could see how assessment, intervention, and evaluation work together.",,"i would recommend this placement because it supported my growth in ethical decision-making, documentation, and engagement with clients and systems. the strongest areas were strengths perspective, home visits."
2018-2019,crosswinds recovery,Crosswinds Recovery,"my afi provided reflective supervision and helped me think critically about assessment, intervention, and documentation.",bureaucratic barriers occasionally made it hard to see progress quickly.,"understanding policy practice and program rules was a very helpful part of the placement. i could see how assessment, intervention, and evaluation work together.",,"yes. the agency provided helpful supervision, opportunities for direct practice, and a clear connection between theory and practice."
2018-2019,"center for children, families and workforce development","Center For Children, Families And Workforce Development","my afi provided reflective supervision and helped me think critically about assessment, intervention, and documentation.",the school schedule limited continuity and made it harder to follow student progress over time.,"working with the interdisciplinary team helped me understand how social work communicates within larger systems of care. i could see how assessment, intervention, and evaluation work together.",,"yes. the agency provided helpful supervision, opportunities for direct practice, and a clear connection between theory and practice. the strongest areas were group work, interdisciplinary team."
2021-2022,trailhead therapy & mentoring,Trailhead Therapy & Mentoring,,little opportunities for policy change or implementation.,direct client contact and evidence-based intervention.,,i would highly recommend!
2021-2022,student advocacy resource center,Student Advocacy Resource Center,the supervision i received got better over time. i think it'll be even better for future students.,tabling events were not a valuable experience for me. there was also a lot of red tape to implementing creative ideas and changes in general.,engaging with student/ client meetings and participating in first step shifts were by far the most valuable experience i received during my practicum.,"i would definitely recommend this placement for first year students. although i experienced some challenges with the way things were managed by my supervisor at times, i felt that a lot of those issues were resolved soon after they took place, and i believe all involved parties learned from that time.also, the opportunity to work for first step was so beneficial to my learning. that experience as well as the opportunity to be paid makes this a really good site.",this is a great placement for someone new to an office setting or social work position in general. i wouldn't recommend this site to someone with a lot of experience as i don't think it would challenge them enough or allow room for growth.
2021-2022,curry health center,Curry Health Center,i appreciate that we sometimes had trainings in our weekly meetings.,i did not get as many 1:1 appointments as i would have liked. i believe this is because there weren't enough scheduled client appointments to go around.,i appreciated the opportunities i had to engage in 1:1 appointments with students to support them. this allowed me the opportunity to get experience in making referrals to other resources on campus. it also allowed me to practice skills learned in my msw courses so far.,,"i think next year will be better for the wellbeing support coach program, because there will be fewer coaches, and i think the coaches will have more opportunity to work 1:1 with students."
2021-2022,intermountain,Intermountain,"melaney made time for me in all ways as my supervisor. she lives in bozeman, and i am in helena, and yet she still found time within her busy schedule to supervise me. we had a lot of great conversations as i explored social work while supporting staff well-being.",i feel like all of it was educational and helpful. i think the biggest challenge was breaking into different parts of the agency as an intern.,"i feel like i was able to use a new and different lens in my work at intermountain. i was already employed there, and doing practicum work there changed my perception and awareness of issues, solutions, and observations.",grateful for the opportunities.,"there is amazing support at intermountain across the whole agency. there are many different services offered as well, so there are many opportunities to experience the social work world."
2021-2022,spot to talk,Spot To Talk,highly recommend to future students.,i have nothing negative to report at this time.,"i found the real life application of therapeutic modalities most beneficial. i enjoyed taking part of supervision, gaining insight on how i could better my skill set and implement them into my sessions.",,"this environment is extremely welcoming to msw students looking to gain therapeutic experience while working alongside clinicians, graduates, and licensed candidates. your work does not go unrecognized and is beneficial for all the clients you serve."
2021-2022,office of the state public defender,Office Of The State Public Defender,"both morgan and breena made themselves available to me on a regular basis for supervision meetings. despite their busy schedules, they found time to include me on different experiences, assign tasks, and allow me time and space to ask questions - although it would slow them down.","tasks were sometimes assigned that were out of scope, but provided me the platform and opportunity to self-advocate and educate my colleagues about the role of a social worker.","i had a great workplace culture that fostered my ability to learn, ask questions, and practice independently.",,"i feel that this population and the legal system is a group that every social worker should have experience in. there are areas of stigma surrounding the work and the clients, but seeing the internal workings of the legal system can provide a better idea of the need for policy change."
2021-2022,brighton recovery center,Brighton Recovery Center,my afi knows what she is doing and she will challenge you and your readiness to be your best. she is also great at pairing therapists with clients in a way that seems mutually beneficial and insightful.,i felt i was thrown in a little bit but i did not feel it was a bad thing. i was trusted and i appreciated it but i don't know how well i was doing initially to support clients when i was so new to the concepts and left to my own devices. i wish i had more access to material that did not require so many pay walls.,"i had to learn many different modalities, group work and how to do treatment plans and treatment plan reviews and i got some experience working with trauma informed therapy.","i vastly underestimated substance abuse. it is hard work with clients who don't want to be there so they can be extreme critics. this practicum allowed me the opportunity to work with vets, domestic violence, adhd and touch on trauma informed therapy and i greatly appreciated the experience.",i felt i could manage this because i already had experience with addiction and was used to writing medical notes. i am older with life experience and had previous domestic violence experience. i was also well read on many psychology books independently and i am older with lots of life experience. this practicum could be completely overwhelming for someone without any strong base of support or life experience and you must have thick skin. these clients can be extremely hard.
2021-2022,curry health center,Curry Health Center,,i don't think there is anything that wasn't helpful in the agency.,i was able to meet with other msw students through different schools and hear what they are going through in their program. another thing that was helpful was that there were different afi's that i met with every other week and they were able to give their opinions on certain situations.,,i think the agency does well with making sure that the learning agreement needs are met and that supervision hours are met weekly.
